file_name,themes
Freak.csv,"Love, California, freedom, rebellion, passion"
Cola.csv,"1. Sexual desire and attraction: The lyrics make multiple references to the singer's sexual desire for older men and her bragging about her sexual prowess.

2. Materialism and wealth: The mention of diamonds, expensive jewelry, and wearing diamonds in a lower-income area (Skid Row) highlights the theme of materialism and wealth.

3. Escapism: The repeated phrase ""come on baby let's ride"" suggests a desire to escape from reality and live a carefree life in the"
This Is What Makes Us Girls.csv,"1. Nostalgia: The lyrics evoke a sense of nostalgia for the speaker's teenage years and the wild, carefree experiences they had with their friends.

2. Rebellion: The speaker reminisces about sneaking out, skipping school, and stealing cars, highlighting their rebellious nature and desire to break free from authority.

3. Friendship: The bond between the speaker and their friends is emphasized throughout the song, particularly in lines like ""there she was my new best friend.""

4."
Get Free.csv,"1. Self-discovery and personal growth: The lyrics mention crossing the threshold and revealing one's heart, as well as committing to living one's own life.

2. Escaping from societal expectations and pressures: The references to being caught up in the dance and playing someone else's game suggest a desire to break free from societal norms and expectations.

3. Mental health struggles: The line ""sometimes it feels like I've got a war in my mind"" hints at internal battles and possibly mental health"
Playing Dangerous.csv,"1. Love and attraction: The main theme of the song is love and attraction, as the singer expresses her feelings for the police officer she encounters.

2. Dangerous games: The lyrics mention playing a dangerous game, hinting at the thrill and risk involved in pursuing this forbidden love.

3. Desire and temptation: The singer is tempted by the officer's presence and flirts with him, expressing her desire to be with him.

4. Rebellion: The singer portrays herself as a ""bad girl"
You Can Be the Boss.csv,"Love, attraction, power dynamics in relationships, danger/temptation, alcohol and party culture"
Diet Mountain Dew (The Flight Demo).csv,"love, attraction, recklessness, addiction, excitement, uncertainty"
Queen of Disaster.csv,"1. Strong feelings and emotions: The lyrics describe the intense and indescribable emotions that the speaker experiences when they are with the person they are addressing. This includes feeling beautiful, wild, and emotional.

2. Rebellion and danger: The person being addressed is described as a ""bad boy"" who makes the speaker feel like a ""gangsta."" This suggests a theme of rebellion and danger in their relationship.

3. Love and attraction: The main theme of the song is love and attraction"
Shades of Cool.csv,"Love, drug addiction, unrequited love, inability to change someone else, destructive relationships"
Heroin.csv,"1. Nostalgia and longing for a past love/friend (references to Topanga, the city by the bay, and friends who have left)
2. The struggle between chasing dreams and facing reality (references to ""facts of life"" and ""hard to dream"")
3. Drug use and its consequences (references to heroin, taking medicine to take thoughts away, and losing someone to addiction)
4. Escapism through travel (references to flying to the moon and leaving on an"
Off to the Races.csv,"1. A tumultuous and dangerous relationship with a ""bad"" man
2. Materialism and lavish lifestyles, represented by references to Las Vegas, fancy drinks, and expensive items
3. The speaker's submission to their partner and willingness to do anything for them, even if it means facing consequences like jail time
4. Love as an all-consuming and possibly destructive force
5. The idea of being someone's possession or property in a romantic relationship"
Trash Magic (Miss America).csv,"love, nostalgia, desire for comfort and security, longing for a past relationship."
Taco Truck x VB.csv,"Love, Relationships, Jealousy, Substance Use/Abuse"
Born To Die.csv,"Love, loneliness, hope, confusion, finding oneself, living in the moment, embracing wild and reckless behavior."
Dealer.csv,"1. Struggling with addiction: The speaker mentions their dealer and doctor, who are both unable to provide them with what they need. They also reference giving all their money and feeling lost in the ""ether,"" possibly suggesting a dependence on drugs.

2. Broken relationships: The speaker's father has been absent for years, and the person they are addressing seems to be unreliable and not reciprocating in their relationship. The repeated line ""why can't you be good for something"" highlights the disappointment"
In My Feelings.csv,"1. Love and relationships: The lyrics suggest a toxic and unstable relationship with lines such as ""fell for another loser"" and ""wasting my time while taking what's mine.""

2. Empowerment: The speaker is determined to take control of their life and emotions, stating ""get that cigarette smoke out of my face"" and ""I'm feeling all my fucking feelings."" They also assert themselves by saying they are ""laughing as [they're] taking no prisoners.""

3."
Venice Bitch.csv,"1. Love and relationships: The main theme of the lyrics is love and relationships. The speaker expresses their love for someone and how they miss them on their lips, and mentions hanging out with them and wanting to be closer to them.

2. Youthfulness: The lyrics also touch on themes of youthfulness, with references to being young and carefree, hanging out with neighborhood kids, dreaming in jeans and leather, and getting high in the garden.

3. Fear: There are also mentions of"
Young and Beautiful.csv,"love, aging, beauty, nostalgia, longing for eternal love and acceptance"
Art Deco.csv,"1. Nightlife and partying: The lyrics repeatedly mention staying out late and having a good time at parties. This could be seen as a reflection of the club queen's lifestyle and attitude.

2. Materialism and social status: The club queen is described as ""shining like gunmetal"" and being drawn to the flashy, art deco aesthetic. She also wants to be seen and noticed by others, suggesting a desire for social status.

3. Rejection and isolation: Despite her efforts"
White Dress.csv,"nostalgia, reminiscing, youth, empowerment, music industry, feeling seen and heard"
13 Beaches.csv,"loneliness, feeling out of place, unrequited love, longing for something real and authentic."
Candy Necklace.csv,"1. Love and obsession: The speaker expresses their love for someone and their obsession with them through repeated mentions of ""rockafella my umbrella"" and ""god i love you baby."" They also mention being ""obsessed"" with dancing and candy necklaces.
2. Restlessness: The repeated phrases ""actin pretty restless"" and ""dancin like the young and restless"" suggest a sense of restlessness or unease within the relationship or in general.
3. Feeling trapped: The"
Brooklyn Baby.csv,"Love, youth and rebellion, self-expression, music and art, societal expectations and judgement"
God Knows I Tried.csv,"1. Struggle and perseverance: The artist mentions trying, begging, borrowing, crying, and losing in the face of challenges. Despite this, they continue to try and push through.
2. Seeking freedom and anonymity: The artist feels free when no one knows their name and they can dance around like they're insane.
3. Divine presence and guidance: The repeated mention of God suggests that the artist believes in a higher power who knows their struggles and efforts.
4. Fame and its effects:"
Beautiful People Beautiful Problems.csv,"1. Love: The main theme of the song is love, specifically the struggles and challenges that come with it. The lyrics talk about the ups and downs of a relationship, as well as the hard work and dedication it takes to make it last.

2. Beauty: The concept of beauty is also present throughout the song, with references to beautiful people and beautiful problems. This could be interpreted as both physical beauty and inner beauty, highlighting how even those who appear perfect on the outside still face challenges"
Summertime Sadness.csv,"1. Love and relationships - The main theme of the song is the speaker's intense love and desire for their partner, expressed through lines such as ""kiss me hard before you go"" and ""baby you're the best.""

2. Summer and nostalgia - The title and repeated mentions of ""summertime"" create a nostalgic atmosphere, evoking memories of past summers with the loved one.

3. Sensuality and passion - The lyrics are filled with sensual imagery, such as dancing in the moon"
Fucked My Way Up to the Top.csv,"1. Self-Confidence and Bragging: The main theme of the lyrics is the speaker's confidence and pride in their own abilities and success. They boast about being the best, passing tests, and reaching the top through their own actions.

2. Materialism and Luxury: The speaker references expensive items such as linen, diamonds, pearls, and a Riviera lifestyle. This suggests a focus on material possessions and living a luxurious lifestyle.

3. Sexual Empowerment: The repeated line"
How to disappear.csv,"1. Nostalgia and reminiscing about past relationships: The lyrics mention meeting someone who the singer hasn't seen in a while, as well as reflecting on past experiences and memories with Joe.

2. Escapism: The song talks about disappearing and leaving behind difficult situations or emotions. It could also be interpreted as using substances to escape from reality.

3. Love and devotion: The singer expresses their love for Joe and how they will always be there for him, no matter where life"
Terrence Loves You.csv,"Love, loss, nostalgia, reminiscence, music, acceptance"
Love song.csv,"Love, relationships, living in the moment, vulnerability, seeking approval and validation from a partner."
California.csv,"Love, support, longing for someone's return, forgiveness, self-acceptance."
Let Me Love You Like A Woman.csv,"Love, longing for companionship, escape from current circumstances, desire for a simple life in a small town, being true to oneself and embracing one's identity."
Serial Killer.csv,"1. Love and desire: The main theme of the song is the speaker's intense desire for love and their willingness to go to extreme lengths to find it, even if it means engaging in destructive behavior.

2. Sociopathy/psychopathy: The speaker describes themselves as a ""sociopath"" and a ""sweet serial killer,"" suggesting that they have a lack of empathy and enjoy causing harm to others. This theme is further explored through the lyrics about ""murdering love"" and enjoying"
"Paris, Texas.csv","1. Leaving and moving on: The main theme of the lyrics is leaving and moving on to new places. The speaker travels to Paris, Spain, and Florence, Alabama in search of something new and different.

2. Feeling misunderstood: The speaker mentions that they had to leave because they knew others wouldn't understand their decision.

3. Knowing when it's time to go: The phrase ""when you know you know"" is repeated throughout the song, emphasizing the importance of knowing when it's time"
Cherry.csv,"1. Love and its intensity: The main theme of the song is love, specifically the intense and all-consuming nature of it. The lyrics describe how real love is like feeling no fear and being willing to face danger for it. It is also compared to heaven and a rush, showing the strong emotions that come with being in love.

2. Destruction and vulnerability: The lyrics also touch on the idea that love can be destructive, as seen in lines like ""my peaches are ruined"" and"
Every Man Gets His Wish.csv,"1. Love and romance: The lyrics mention a true love that never dies and the desire for forever young in paradise. It also talks about finding love in unexpected places and the narrator's relationship with their significant other.

2. Materialism and consumerism: The mention of a golden grill, Chevrolet, Cristal champagne glasses, and heart-shaped sunglasses suggests a focus on material possessions and status symbols.

3. Youthfulness and living in the moment: The idea of being forever young, partying like"
West Coast.csv,"1. The West Coast lifestyle and culture: The lyrics mention the saying about drinking and playing, as well as references to icons, silver starlets, and rock n roll groupies.

2. Love and desire: The singer is in love with someone who makes them feel alive and high, but there are also moments of hesitation and push-and-pull.

3. Music: Throughout the song, there is a strong emphasis on music and how it affects the singer's emotions.

4. Freedom and"
Kintsugi.csv,"1. Loss and grief: The lyrics discuss the loss of loved ones and the speaker's feelings of sadness and longing for them.
2. Coping mechanisms: The speaker talks about running away from their emotions and using music as a way to deal with their feelings.
3. Acceptance: The idea that sometimes we have to let our hearts break in order to let light in is a recurring theme throughout the song.
4. Family relationships: The lyrics mention family members, specifically the speaker's father"
Text Book.csv,"1. Searching for father figure/relationship: The main theme of the song is about the narrator's search for a father figure or a strong male role model in her life. She mentions looking for the ""father [she] wanted back"" and finding it in someone she thought would have her back.

2. Self-discovery and self-acceptance: The narrator also explores themes of self-discovery and acceptance, as she reflects on not liking herself or loving her life before meeting this person."
Music to Watch Boys To.csv,"Music, love, relationships, femininity, nostalgia, rebellion, youth."
Meet Me in the Pale Moonlight.csv,"1. Casual Relationships: The narrator is not looking for true love, but rather a casual encounter or fling.

2. Pursuit of Love: Despite not wanting anything serious, the narrator still wants to be pursued by their love interest and expresses their desire for them.

3. Working Class Life: The narrator works at a fast food restaurant and mentions serving coke and fries at a drive-in movie theater, highlighting their blue-collar job and lifestyle.

4. Longing and Daydreaming: The"
Florida Kilos.csv,"Drug use, partying, and living dangerously in Florida."
Video Games.csv,"love, desire, escapism, nostalgia, fame, and living for someone else's affection."
Old Money.csv,"1. Nostalgia and longing for the past: The lyrics evoke a sense of nostalgia for the past, particularly for the carefree days of youth and the memories associated with them.

2. Materialism and wealth: The mention of ""cold cash"" and luxurious items such as ""cashmere cologne"" and ""red racing cars"" hint at a theme of materialism and wealth.

3. Love and relationships: The lyrics also touch upon themes of love and relationships, specifically the speaker"
Black Beauty.csv,"1. Personal identity and self-expression: The lyrics mention painting nails and dyeing hair as a way to express oneself, regardless of societal expectations.

2. Race and ethnicity: The mention of ""Spanish"" women and being proud of one's dark features highlights the theme of racial identity and embracing one's heritage.

3. Love and relationships: The lyrics touch on a tumultuous relationship where the speaker's partner has a preference for darker aesthetics, causing tension in their dynamic.

4. Perception and perspective"
Religion.csv,"1. Love and relationships: The main theme of the lyrics is love and the importance of a romantic relationship. The speaker emphasizes that for them, love is the most important thing in life and it surpasses material possessions or social activities.

2. Letting go of past troubles: The lyrics suggest that the characters have gone through some tough times but now everything is fine and they are leaving their past struggles behind.

3. Faith and spirituality: The use of religious imagery such as ""halleluj"
Lolita.csv,"1. Love and infatuation: The main theme of the song is love and infatuation, as the speaker expresses their feelings for someone and their desire to be with them. They describe being in love with this person and wanting to be close to them.

2. Rejection of societal norms: The lyrics also touch on the idea of rejecting societal expectations, as the speaker mentions not caring about what others think of them and wanting to have fun and be in love despite any judgment.

3"
Tomorrow Never Came.csv,"1. Love and longing: The main theme of the song is love and the narrator's longing for their significant other. They constantly mention waiting for them and wanting things to be the same, showing their strong feelings for this person.

2. Disappointment: The recurring phrase ""tomorrow never came"" suggests that the narrator's expectations were not met and they feel disappointed about it. This could also tie into their longing for things to be the same as before.

3. Nostalgia:"
